T_K,P_atm,quantity,max_abs_JAX_minus_SciPy,RMSE_JAX_minus_SciPy
351.5,0.84,Temperature,9.094947017729282e-13,2.830018365974046e-13
351.5,0.84,Pressure,4.656612873077393e-10,1.2135517916263306e-10
351.5,0.84,Y_H2,6.938893903907228e-18,3.815816648135154e-19
351.5,0.84,Y_O2,2.7755575615628914e-17,1.5039829108544753e-18
351.5,0.84,Y_H2O,5.551115123125783e-17,1.8538018352876808e-17
351.5,0.84,Y_OH,3.469446951953614e-18,1.8331254639268994e-18
351.5,0.84,Y_H,4.336808689942018e-19,3.839616997858308e-20
351.5,0.84,Y_O,1.734723475976807e-18,2.4372955792915225e-19
351.5,0.84,Y_HO2,1.0842021724855044e-19,3.793093864479491e-21
351.5,0.84,Y_H2O2,6.776263578034403e-21,3.5853281457545355e-22
351.5,0.84,Y_N2,0.0,0.0
351.5,2.54,Temperature,9.094947017729282e-13,2.0870129163410887e-13
351.5,2.54,Pressure,9.313225746154785e-10,3.123750878730495e-10
351.5,2.54,Y_H2,3.469446951953614e-18,2.0723109551908686e-19
351.5,2.54,Y_O2,3.469446951953614e-18,9.314888960620828e-19
351.5,2.54,Y_H2O,5.551115123125783e-17,2.553915180876962e-17
351.5,2.54,Y_OH,3.469446951953614e-18,1.0563787070800767e-18
351.5,2.54,Y_H,1.0842021724855044e-19,1.7373336280378062e-20
351.5,2.54,Y_O,8.673617379884035e-19,1.2889396220002575e-19
351.5,2.54,Y_HO2,2.710505431213761e-20,2.49934530992552e-21
351.5,2.54,Y_H2O2,1.6940658945086007e-21,4.647438039406928e-22
351.5,2.54,Y_N2,0.0,0.0
351.5,4.64,Temperature,9.094947017729282e-13,2.668615387461955e-13
351.5,4.64,Pressure,1.862645149230957e-09,6.726616583770901e-10
351.5,4.64,Y_H2,3.469446951953614e-18,3.0202377658689307e-19
351.5,4.64,Y_O2,1.3877787807814457e-17,1.0879542476538195e-18
351.5,4.64,Y_H2O,5.551115123125783e-17,1.4220500840710914e-17
351.5,4.64,Y_OH,3.469446951953614e-18,1.1506853769672336e-18
