quantity,units,RMSE,MAE,max_abs_error,NRMSE_pct
Temperature,K,0.7949474965710184,0.2598175370892623,17.1469100244517,0.05626971868022406
Pressure,Pa,610.9024620085934,574.6295153453201,6881.521056855563,0.07944885989812855
Y_H2,mass fraction,3.7564455844139306e-05,2.6812897532566917e-06,0.0011331244534179535,0.13170165298340678
Y_O2,mass fraction,0.00027457106231839647,1.986639356491394e-05,0.008109071365712053,0.1213016133412496
Y_H2O,mass fraction,0.000246837190398345,2.7663293413128496e-05,0.007215022206846611,0.11374971662075835
Y_OH,mass fraction,3.5246685838475456e-05,6.6133748132310605e-06,0.0009436969867936372,0.12897581705135677
Y_H,mass fraction,8.529170426840259e-06,8.92538070373448e-07,0.000270522961679405,0.2639295062921685
Y_O,mass fraction,2.6952424264740932e-05,4.2015886368560975e-06,0.0008414055679940458,0.1995905881871947
Y_HO2,mass fraction,1.4484210272755234e-06,9.199067497852702e-08,3.291121783358496e-05,0.2014701385950699
Y_H2O2,mass fraction,1.4540152921937873e-07,8.96351033863401e-09,4.459313649955108e-06,0.2675099732644081
Y_N2,mass fraction,0.0,0.0,0.0,0.0
