case_id,T_K,P_atm,phi,status,cj_speed_m_s,t_end_s,n_profile_points,x_max_m,profile_file,runtime_s,error_message
1,300.0,0.1,1.0,cached,1920.62258153982,5e-05,571,0.03540588082277351,znd_tp_profiles/znd_T0300.00_P00.10.npz,0.0,
2,300.0,0.2,1.0,cached,1937.9976387438476,5e-05,623,0.043074567542248886,znd_tp_profiles/znd_T0300.00_P00.20.npz,0.0,
3,300.0,0.30000000000000004,1.0,cached,1947.819051656995,5e-05,643,0.04609473872205614,znd_tp_profiles/znd_T0300.00_P00.30.npz,0.0,
4,300.0,0.4,1.0,cached,1954.6163834610904,5e-05,657,0.04750017985654472,znd_tp_profiles/znd_T0300.00_P00.40.npz,0.0,
5,300.0,0.5,1.0,cached,1959.7839025110939,5e-05,666,0.04828920802495649,znd_tp_profiles/znd_T0300.00_P00.50.npz,0.0,
6,300.0,0.6,1.0,cached,1963.9346480027305,5e-05,673,0.048796692749781274,znd_tp_profiles/znd_T0300.00_P00.60.npz,0.0,
7,300.0,0.7000000000000001,1.0,cached,1967.3920978770213,5e-05,679,0.049153837633721935,znd_tp_profiles/znd_T0300.00_P00.70.npz,0.0,
8,300.0,0.8,1.0,cached,1970.3474046713634,5e-05,684,0.04942133414380093,znd_tp_profiles/znd_T0300.00_P00.80.npz,0.0,
9,300.0,0.9,1.0,cached,1972.9229348984773,5e-05,704,0.04963094966346953,znd_tp_profiles/znd_T0300.00_P00.90.npz,0.0,
10,300.0,1.0,1.0,cached,1975.2015032109978,5e-05,775,0.04980090937984013,znd_tp_profiles/znd_T0300.00_P01.00.npz,0.0,
11,300.0,1.1,1.0,cached,1977.241781105265,5e-05,746,0.04994240349824656,znd_tp_profiles/znd_T0300.00_P01.10.npz,0.0,
12,300.0,1.2000000000000002,1.0,cached,1979.0867609578754,5e-05,834,0.05006267668991035,znd_tp_profiles/znd_T0300.00_P01.20.npz,0.0,
13,300.0,1.3000000000000003,1.0,cached,1980.7689368159631,5e-05,775,0.05016666243009852,znd_tp_profiles/znd_T0300.00_P01.30.npz,0.0,
14,300.0,1.4000000000000001,1.0,cached,1982.313385481907,5e-05,787,0.05025781686106537,znd_tp_profiles/znd_T0300.00_P01.40.npz,0.0,
15,300.0,1.5000000000000002,1.0,cached,1983.739879724588,5e-05,779,0.05033865196048619,znd_tp_profiles/znd_T0300.00_P01.50.npz,0.0,
16,300.0,1.6,1.0,cached,1985.064290109255,5e-05,776,0.05041102212681808,znd_tp_profiles/znd_T0300.00_P01.60.npz,0.0,
17,300.0,1.7000000000000002,1.0,cached,1986.2994891166074,5e-05,811,0.050476365224182536,znd_tp_profiles/znd_T0300.00_P01.70.npz,0.0,
18,300.0,1.8000000000000003,1.0,cached,1987.4561389271514,5e-05,757,0.050535756592635026,znd_tp_profiles/znd_T0300.00_P01.80.npz,0.0,
19,300.0,1.9000000000000001,1.0,cached,1988.5431043106823,5e-05,796,0.0505900665463285,znd_tp_profiles/znd_T0300.00_P01.90.npz,0.0,
